number,uso_bici,address,lat,lon,total,nombre,coddistrit,codbarrio
107,1026,Campillo de Altobuey (Polideportivo),39.47524531713643,-0.3362242490922528,15,LA CARRASCA,13,5
108,1300,Luís Peixó 20,39.47382619077011,-0.3339152679031098,15,CABANYAL-CANYAMELAR,11,2
109,1245,Naranjos - Ingeniero Fausto Elio,39.4768193210939,-0.3335102388084858,20,LA CARRASCA,13,5
110,957,UPV Trinquet,39.48074033571707,-0.33668024623462534,30,LA CARRASCA,13,5
111,1540,UPV Galileo,39.48066419504159,-0.3395082613341325,30,LA CARRASCA,13,5
112,1417,Manuel Broseta i Pont - Naranjos,39.47858033137406,-0.34227526701990957,40,LA CARRASCA,13,5
113,1597,UPV Caminos,39.48127634089521,-0.3436112694462359,38,LA CARRASCA,13,5
114,1308,UPV Informática,39.4818043438759,-0.346591279156021,30,LA CARRASCA,13,5
115,777,Cataluña - Doctor Vicente Zaragozá,39.481562345598135,-0.3521482985209469,16,BENIMACLET,14,1
116,1673,Doctor Vicente Zaragozá - Ramón Asensio,39.48325335356676,-0.3575613154471814,15,BENIMACLET,14,1
117,1881,Gascó Oliag - Primado Reig,39.47925133992885,-0.357065317141581,30,CIUTAT UNIVERSITARIA,6,4
118,1344,Gómez Ferrer - Álvaro de Bazán,39.480466345728246,-0.3604163266878076,20,CIUTAT UNIVERSITARIA,6,4
119,934,Jaime Roig - Bachiller,39.48252035422283,-0.36322633473676447,20,JAUME ROIG,6,3
120,1670,Doctor Vicente Zaragozá - Emilio Baró,39.484880361257815,-0.36204632906281087,18,BENIMACLET,14,1
121,839,Murta - Sant Eperit,39.48618236435413,-0.35877131748144303,15,BENIMACLET,14,1
122,900,Músico Hipólito Martínez - Diógenes López Mecho,39.48448535604776,-0.3540663028794564,15,CAMI DE VERA,14,2
123,792,Albocácer - Vinaroz,39.487671371814656,-0.36484133609518726,20,SANT LLORENS,15,3
124,573,Azagador de Alboraya - Dolores Marqués,39.48850137319014,-0.3619553259600363,25,BENIMACLET,14,1
125,818,"Masquefa, 42 - 44",39.489693375775445,-0.3586183142345537,15,CAMI DE VERA,14,2
126,926,Alfahuir - José Chabas Bordehore,39.49309838788837,-0.36010431604895277,20,SANT LLORENS,15,3
127,760,Alfahuir - Duque de Mandas,39.49059138177909,-0.3644463333304693,20,SANT LLORENS,15,3
128,925,Alfahuir - Peñiscola,39.48876637693274,-0.367544345093534,25,ELS ORRIOLS,15,1
129,1143,Almazora - Benimuslem,39.485975369089516,-0.3699453557741905,20,TRINITAT,5,3
130,1137,Convento Carmelitas - Alboraya,39.483238360081586,-0.370210358642677,15,TRINITAT,5,3
131,1264,"CALLE SANTA AMALIA  2, esquina POETA BODRIA",39.48141722170027,-0.3729122732215235,20,TRINITAT,5,3
132,1316,Platero Suárez - Milagrosa,39.48528636793778,-0.3734343681182198,15,MORVEDRE,5,2
133,1069,Alfambra - Poeta Monmeneu,39.48275636079257,-0.37588237827023757,15,MORVEDRE,5,2
134,942,Maximiliano Thous - Luz Casanova,39.48765637635625,-0.37333936513208965,20,SANT ANTONI,5,5
135,1136,Constitución - Reus,39.48570237196362,-0.37850138478156414,20,MARXALENES,5,1
136,984,Economista Gay - Constitución,39.48994138447594,-0.37561037166808026,20,TORMOS,5,4
137,752,Economista Gay - Luis Crumiere,39.48903338344832,-0.3798963873712934,20,TORMOS,5,4
138,752,San Pancracio - Periodista Llorente,39.48819038284581,-0.38422240207482833,20,MARXALENES,5,1
139,860,Reus - Alquería de la Estrella,39.485706374097916,-0.38287339995719183,15,MARXALENES,5,1
140,884,Campanar - Nicasio Benlloch,39.48800438494039,-0.3896004206542252,20,EL CALVARI,4,3
141,1274,Gregorio Gea - Padre Ferris,39.483268367245344,-0.3851564091174212,20,LES TENDETES,4,2
142,795,Gregorio Gea - Profesor Beltrán Báguena,39.48192036501599,-0.38965942617943544,25,CAMPANAR,4,1
143,1561,Pio XII - Menéndez PIdal (Nuevo Centro),39.4795373575288,-0.39093643241708165,30,CAMPANAR,4,1
144,544,Marqués de San Juan - Diputat Lluís Lucía,39.4787793569025,-0.39548044804080085,15,CAMPANAR,4,1
145,478,Plaza Badajoz,39.48154736759815,-0.398395456094638,15,CAMPANAR,4,1
147,1143,Pie de la Cruz - Rejas,39.47320133107913,-0.3802074001545322,15,EL MERCAT,1,5
148,0,C/Xàtiva 30-32,39.46714522461298,-0.3753782937388751,35,RUSSAFA,2,1
149,1503,Peris y Valero - Salamanca,39.462934287947085,-0.36179534600499663,20,LA GRAN VIA,2,3
150,1752,Manuel Candela - Rodriguez de Cepeda,39.46772129856667,-0.35060930364544307,25,ALBORS,12,2
151,1397,Jerónimo Monsoriu - Alcalde Cano Coloma,39.464669282422186,-0.33711726031421224,20,AIORA,12,1
152,1248,Reina Doña María - Cádiz,39.460925286769694,-0.3727053849231208,15,RUSSAFA,2,1
153,1671,Llano de la Zaidía - Doctor Olóriz,39.48305822805289,-0.3805912745331588,24,MARXALENES,5,1
154,863,Pescadores - Progreso,39.469876296228996,-0.3295542305651281,15,CABANYAL-CANYAMELAR,11,2
155,917,Salamanca - Reina Doña Germana,39.46495329574819,-0.3630783484267159,20,LA GRAN VIA,2,3
156,1350,Puerto Rico - Cuba,39.46096428829767,-0.3763453968184098,15,RUSSAFA,2,1
157,762,Pérez Galdós - Marqués de Zenete,39.46405230416093,-0.38736643250783204,20,ARRANCAPINS,3,4
158,804,Doctor Lluch - Virgen del Sufragio,39.46669828513057,-0.3277192268301427,15,CABANYAL-CANYAMELAR,11,2
159,1405,Francisco Cubells - San José de la Vega,39.463449276866356,-0.3347222532485526,17,CABANYAL-CANYAMELAR,11,2
160,1188,José María de Haro - Justo y Pastor,39.467336291769534,-0.33898126470999496,20,L'ILLA PERDUDA,13,1
161,1222,Mediterráneo - Plaza Cruz de Cañamelar,39.46796929073871,-0.3317262387298495,15,CABANYAL-CANYAMELAR,11,2
162,1472,Armada Española - Mariano Cuber,39.46360427573933,-0.3297952360224295,19,CABANYAL-CANYAMELAR,11,2
163,1092,Paseo Neptuno 32-34,39.46443727525528,-0.3234012136184579,20,CABANYAL-CANYAMELAR,11,2
164,1132,Pavía - Columbretes,39.46846028903177,-0.3246342149862025,17,CABANYAL-CANYAMELAR,11,2
165,739,Pavía - Espadán,39.471409299035706,-0.3245702116150898,20,CABANYAL-CANYAMELAR,11,2
166,885,Don Vicente Guillot - Progreso,39.47334930757559,-0.32881122495787873,15,CABANYAL-CANYAMELAR,11,2
167,1103,Pavía - Acequia de la Cadena,39.474908310742784,-0.3246102088459378,20,LA MALVA-ROSA,11,3
169,712,Pavía (Instituto Isabel de Villena),39.47878532308192,-0.32464520634897104,18,LA MALVA-ROSA,11,3
170,1029,Isabel de Villena - Mendizábal,39.482973337910934,-0.32533420529241996,20,LA MALVA-ROSA,11,3
171,981,Gran Canaria - Ingeniero Manuel Maese,39.483060339803416,-0.32900821806202085,15,LA MALVA-ROSA,11,3
172,731,Pío XII - Campanar,39.48146236504626,-0.3933454386575609,20,CAMPANAR,4,1
173,562,Pío XII - Monestir de Poblet,39.484541375368174,-0.394678441209281,20,CAMPANAR,4,1
174,753,Monduber - Peset Aleixandre,39.489438388167024,-0.38664740957644866,19,BENICALAP,16,1
