updated,address,number,available,lat,lon,total,open,free
2025-02-03 00:01:42.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 00:09:53.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 00:20:14.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 00:30:36.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 00:39:44.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 00:49:53.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 01:00:01.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 01:09:35.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 01:19:46.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 01:29:56.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 01:40:04.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 01:50:15.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 02:00:25.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 02:09:37.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 02:19:48.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 02:29:56.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 02:39:05.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 02:49:16.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 02:59:50.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 03:10:07.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 03:19:14.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 03:30:24.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 03:39:32.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 03:49:41.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 03:59:49.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 04:09:58.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 04:20:07.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 04:30:15.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 04:39:23.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 04:49:31.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 05:00:41.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 05:10:05.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 05:19:36.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 05:29:58.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 05:39:12.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 05:49:27.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 06:01:42.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 06:09:49.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 06:19:22.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 06:30:30.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 06:40:03.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 06:49:12.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 07:00:46.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 07:09:54.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 07:20:02.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 07:30:10.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 07:40:19.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 07:49:27.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 07:59:36.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 08:09:27.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 08:30:01.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 08:59:56.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 09:09:13.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 09:20:28.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 09:30:02.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 09:39:13.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 09:49:23.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 10:00:35.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 10:09:45.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 10:19:54.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 10:30:04.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 10:40:14.000000,Alameda - Pintor Maella,53,22,39.45676426141678,-0.34813930400480075,25,T,3
2025-02-03 10:49:22.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 11:00:34.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 11:09:42.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 11:19:49.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 11:29:58.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 11:40:09.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 11:49:22.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 12:02:37.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 12:09:44.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 12:19:53.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 12:30:02.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 12:49:20.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 13:00:31.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 13:09:40.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 13:19:54.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 13:30:07.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 13:49:25.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 14:00:36.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 14:20:02.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 14:30:11.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 14:49:54.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 15:00:28.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 15:09:36.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 15:19:43.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 15:29:52.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 15:39:25.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 15:49:32.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 16:00:42.000000,Alameda - Pintor Maella,53,24,39.45676426141678,-0.34813930400480075,25,T,1
2025-02-03 16:09:51.000000,Alameda - Pintor Maella,53,25,39.45676426141678,-0.34813930400480075,25,T,0
2025-02-03 16:20:00.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 16:30:34.000000,Alameda - Pintor Maella,53,22,39.45676426141678,-0.34813930400480075,25,T,3
2025-02-03 16:39:42.000000,Alameda - Pintor Maella,53,22,39.45676426141678,-0.34813930400480075,25,T,3
2025-02-03 16:49:50.000000,Alameda - Pintor Maella,53,23,39.45676426141678,-0.34813930400480075,25,T,2
2025-02-03 17:00:59.000000,Alameda - Pintor Maella,53,9,39.45676426141678,-0.34813930400480075,25,T,16
2025-02-03 17:09:06.000000,Alameda - Pintor Maella,53,10,39.45676426141678,-0.34813930400480075,25,T,15
2025-02-03 17:19:17.000000,Alameda - Pintor Maella,53,10,39.45676426141678,-0.34813930400480075,25,T,15
2025-02-03 17:30:28.000000,Alameda - Pintor Maella,53,3,39.45676426141678,-0.34813930400480075,25,T,22
2025-02-03 17:39:35.000000,Alameda - Pintor Maella,53,5,39.45676426141678,-0.34813930400480075,25,T,20
2025-02-03 17:49:46.000000,Alameda - Pintor Maella,53,2,39.45676426141678,-0.34813930400480075,25,T,23
2025-02-03 18:00:22.000000,Alameda - Pintor Maella,53,3,39.45676426141678,-0.34813930400480075,25,T,22
2025-02-03 18:09:35.000000,Alameda - Pintor Maella,53,3,39.45676426141678,-0.34813930400480075,25,T,22
2025-02-03 18:19:44.000000,Alameda - Pintor Maella,53,3,39.45676426141678,-0.34813930400480075,25,T,22
2025-02-03 18:29:54.000000,Alameda - Pintor Maella,53,6,39.45676426141678,-0.34813930400480075,25,T,19
2025-02-03 18:39:25.000000,Alameda - Pintor Maella,53,5,39.45676426141678,-0.34813930400480075,25,T,20
2025-02-03 18:49:35.000000,Alameda - Pintor Maella,53,4,39.45676426141678,-0.34813930400480075,25,T,21
2025-02-03 18:59:43.000000,Alameda - Pintor Maella,53,5,39.45676426141678,-0.34813930400480075,25,T,20
2025-02-03 19:09:52.000000,Alameda - Pintor Maella,53,5,39.45676426141678,-0.34813930400480075,25,T,20
2025-02-03 19:19:29.000000,Alameda - Pintor Maella,53,3,39.45676426141678,-0.34813930400480075,25,T,22
2025-02-03 19:29:16.000000,Alameda - Pintor Maella,53,5,39.45676426141678,-0.34813930400480075,25,T,20
2025-02-03 19:39:30.000000,Alameda - Pintor Maella,53,5,39.45676426141678,-0.34813930400480075,25,T,20
2025-02-03 19:49:39.000000,Alameda - Pintor Maella,53,4,39.45676426141678,-0.34813930400480075,25,T,21
2025-02-03 19:59:48.000000,Alameda - Pintor Maella,53,4,39.45676426141678,-0.34813930400480075,25,T,21
2025-02-03 20:09:59.000000,Alameda - Pintor Maella,53,2,39.45676426141678,-0.34813930400480075,25,T,23
2025-02-03 20:20:08.000000,Alameda - Pintor Maella,53,1,39.45676426141678,-0.34813930400480075,25,T,24
2025-02-03 20:29:17.000000,Alameda - Pintor Maella,53,1,39.45676426141678,-0.34813930400480075,25,T,24
2025-02-03 20:39:32.000000,Alameda - Pintor Maella,53,2,39.45676426141678,-0.34813930400480075,25,T,23
2025-02-03 20:49:41.000000,Alameda - Pintor Maella,53,4,39.45676426141678,-0.34813930400480075,25,T,21
2025-02-03 21:00:16.000000,Alameda - Pintor Maella,53,3,39.45676426141678,-0.34813930400480075,25,T,22
2025-02-03 21:09:26.000000,Alameda - Pintor Maella,53,3,39.45676426141678,-0.34813930400480075,25,T,22
2025-02-03 21:19:35.000000,Alameda - Pintor Maella,53,4,39.45676426141678,-0.34813930400480075,25,T,21
2025-02-03 21:29:42.000000,Alameda - Pintor Maella,53,2,39.45676426141678,-0.34813930400480075,25,T,23
2025-02-03 21:39:50.000000,Alameda - Pintor Maella,53,2,39.45676426141678,-0.34813930400480075,25,T,23
2025-02-03 21:50:00.000000,Alameda - Pintor Maella,53,1,39.45676426141678,-0.34813930400480075,25,T,24
2025-02-03 22:00:07.000000,Alameda - Pintor Maella,53,1,39.45676426141678,-0.34813930400480075,25,T,24
2025-02-03 22:09:49.000000,Alameda - Pintor Maella,53,1,39.45676426141678,-0.34813930400480075,25,T,24
2025-02-03 22:20:07.000000,Alameda - Pintor Maella,53,1,39.45676426141678,-0.34813930400480075,25,T,24
